deputado,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Waldenor Pereira,3      ,3      ,3      ,5,3      ,3      ,3      ,3      ,5,0            ,3      ,1            ,0            ,1            ,1            ,1            ,3      ,1            ,3      ,3      ,3      ,3      ,5,3      ,3      ,0            ,3      ,3      ,3      ,3      ,3      ,3      ,0            
Waldir Maranhão,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6        ,5,6        ,0            ,5,5,6        ,1            ,0            ,5,1            ,5,1            ,1            ,1            
Walney Rocha,0            ,1            ,0            ,1            ,1            ,1            ,1            ,0            ,1            ,0            ,1            ,5,0            ,1            ,1            ,5,0            ,5,1            ,0            ,1            ,1            ,1            ,0            ,1            ,0            ,1            ,1            ,0            ,0            ,1            ,0            ,0            
Walter Alves,1            ,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Washington Reis,5,0            ,1            ,0            ,0            ,0            ,0            ,1            ,5,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Weliton Prado,1            ,1            ,0            ,1            ,1            ,1            ,1            ,0            ,1            ,0            ,1            ,1            ,0            ,1            ,1            ,1            ,0            ,5,1            ,0            ,1            ,1            ,1            ,0            ,1            ,0            ,1            ,0            ,0            ,0            ,0            ,0            ,0            
Wellington Roberto,5,5,1            ,0            ,0            ,0            ,5,5,0            ,1            ,0            ,5,1            ,5,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,5,1            ,5,5,5,5,5
Weverton Rocha,5,3      ,5,5,3      ,3      ,3      ,5,5,0            ,5,5,0            ,1            ,5,1            ,5,5,5,5,3      ,5,3      ,3      ,3      ,0            ,5,5,5,5,5,5,5
Wilson Filho,5,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,5,5,0            ,1            ,5,0            ,1            ,0            ,5,5,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Wladimir Costa,5,5,5,5,5,5,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,5,5,5,0            ,0            ,0            ,5,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Wolney Queiroz,5,5,5,5,3      ,3      ,3      ,3      ,5,0            ,3      ,5,0            ,5,5,1            ,3      ,1            ,3      ,5,1            ,5,3      ,3      ,3      ,0            ,5,5,5,5,5,5,5
Zeca Cavalcanti,5,0            ,1            ,0            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,0            ,1            ,0            ,0            ,0            ,1            ,0            ,1            ,0            ,1            ,1            ,1            ,1            ,1            ,1            
Zeca Dirceu,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3      ,5,5,3      ,5,5,5,5,3      ,0            ,3      ,3      ,3      ,3      ,3      ,3      ,0            
